
ACTIVITY PATTERNS,
type,data-set,entityid,type,category,code,subject,description,mandatory,priority,recurring,targetdays,targetincludedays,targetstartpoint,escalationdays,escalationincldays,escalationstartpt,automatedonly,command,patternlevel
ActivityPattern,0,sample_pattern:30,general,uwreview,approve_general,Review and approve,,true,high,false,2,businessdays,activitycreation,5,businessdays,activitycreation,false,,Job
ActivityPattern,0,sample_pattern:31,general,uwreview,approve_submission,Review and approve submission,,true,high,false,2,businessdays,activitycreation,5,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:32,general,uwreview,approve_policy_change,Review and approve policy change,,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:33,general,uwreview,approve_cancellation,Review and approve cancellation,,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:34,general,uwreview,approve_reinstatement,Review and approve reinstatement,,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:35,general,uwreview,review_renewal,Review and approve renewal,,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:36,general,reminder,open_eval_issue,Review open UW issues,,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:37,general,reminder,preemption,Resolve conflicts for preempted policy transaction(s),Another transaction has preempted an in-progress transaction for the same policy.  Any conflicts caused in preempted transactions must be resolved by changing the preempted transactions to incorporate the changes made in this preempting transaction.,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:38,general,reminder,renewal_started,Renewal started on policy that has open cancellation,,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:39,general,request,issue_failed,Issuing policy failed,External system indicated it cannot issue the policy,false,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:40,general,request,send_docs_failed,Fail to send documents,External system indicated it did not send the necessary documents.,false,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:41,general,request,send_to_sor_failed,Fail to send to system-of-record,External system failed to process the policy,false,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:42,general,request,bind_failed,Bind policy failed,External system failed to bind the submission,false,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:43,general,request,quote_failed,Quoting failed,Fail to quote renewal,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:44,general,request,issue_policy,Issue Policy,Submission has been bound but not yet issued.,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:45,general,uwreview,uw_review_approved,Underwriter has reviewed this job,,false,high,false,2,businessdays,activitycreation,,,,true,,Job
ActivityPattern,0,sample_pattern:46,general,uwreview,uw_review_changes_required,Underwriter has reviewed this job and changes are required to the policy,,false,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:47,general,uwreview,uw_review_declined,Underwriter has reviewed this job and declined the policy,,false,normal,false,2,businessdays,activitycreation,,,,true,,Job
ActivityPattern,0,sample_pattern:48,general,uwreview,premium_report_overdue,Premium report overdue,,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:49,general,reminder,new_audit_assigmnent,New Audit Assignment,A new audit has been assigned to you,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,false,,Job
ActivityPattern,0,sample_pattern:50,general,reminder,ratio_out_of_range,Ratio out of range,The reported premium ratio is out of range,true,normal,false,2,businessdays,activitycreation,2,businessdays,activitycreation,false,,Job
ActivityPattern,0,sample_pattern:51,general,reminder,complete_rewrite_new_account,Rewrite to New Account,A rewrite to new account work order needs to be completed.,true,high,false,2,businessdays,activitycreation,2,businessdays,activitycreation,false,,Job
ActivityPattern,0,sample_pattern:52,general,request,policy_hold_released,Policy Hold Released,A policy hold blocking progress on this work order has been modified and the hold no longer blocks it. You may continue to work on the work order.,false,normal,false,,,,,,,true,,Job
ActivityPattern,0,sample_pattern:53,general,uwreview,activate_fac,Review validation errors for facultative reinsurance agreement,The facultative reinsurance agreement could not be activated because validation errors occurred.,true,high,false,2,businessdays,activitycreation,10,businessdays,activitycreation,true,,Job
ActivityPattern,0,sample_pattern:54,general,reminder,maybe_cancel_split_policy,Cancel a split policy,A policy has been split into two new submissions should be canceled.,false,high,false,5,businessdays,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:55,general,reminder,restore_from_archive_complete,Your request to retrieve from the archive has been completed,A requested policy term has been retrieved from the archive.,false,low,false,,elapsed,activitycreation,,elapsed,activitycreation,true,,All
ActivityPattern,0,sample_pattern:56,general,reminder,restore_from_archive_failed,Your request to retrieve from the archive has failed,An attempt to retrieve a policy term from the archive has failed.,false,low,false,,elapsed,activitycreation,,elapsed,activitycreation,true,,All
